target,variant,num_samples,feature_diversity,wall_seconds,runtime_overhead_percent,peak_memory_bytes,target_success,target_accuracy,signed_target_logit_mean,signed_target_logit_std,target_margin_q10,target_margin_median,target_margin_q90,protected_logit_drift_mean,protected_flip_rate,protected_1_drift,protected_1_flip_rate,protected_2_drift,protected_2_flip_rate,protected_3_drift,protected_3_flip_rate,protected_4_drift,protected_4_flip_rate,kid_mean,kid_std,kid_subset_size,kid_subsets,kid_reference,guided_field_evaluations,raw_generator_forwards,evaluator_forwards,evaluator_examples,matrix,guided_field_evaluations_per_trajectory,raw_generator_forwards_per_trajectory,mean_scale,max_scale,feasible_rate,fallback_rate,gate_inactive_rate,protected_0_drift,protected_0_flip_rate
smiling_present,hw3_baseline,256,0.3958185017108917,23.594124751,0.0,598670848,0.98828125,0.98828125,11.120903015136719,3.967559576034546,6.097457408905029,11.74850845336914,15.720682144165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011947293281555176,0.0022683536499725544,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,0,0,,,,,,,,,,
smiling_present,target_feedback_only,256,0.4828285574913025,25.096567843999765,6.367869581329086,628038656,0.78125,0.78125,5.928221225738525,7.0791192054748535,-5.164667129516602,7.29453182220459,13.839366912841797,2.2244372367858887,0.072265625,2.023510456085205,0.04296875,1.9700026512145996,0.07421875,2.1009819507598877,0.0546875,2.803255081176758,0.1171875,0.007292666435241699,0.001641285446857459,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,0.9693359136581421,4.0,0.915625,0.084375,0.0,,
smiling_present,target_plus_preservation,256,0.4828285574913025,23.276521486000092,-1.3461116627623384,628038656,0.78125,0.78125,5.928221225738525,7.0791192054748535,-5.164667129516602,7.29453182220459,13.839366912841797,2.2244372367858887,0.072265625,2.023510456085205,0.04296875,1.9700026512145996,0.07421875,2.1009819507598877,0.0546875,2.803255081176758,0.1171875,0.007292666435241699,0.001641285446857459,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,0.9693359136581421,4.0,0.915625,0.084375,0.0,,
smiling_present,target_plus_minimum_intervention,256,0.4500863552093506,25.524633330000142,8.182158055760565,628038656,0.87109375,0.87109375,8.218158721923828,6.235750675201416,-1.9741374254226685,9.949418067932129,14.772754669189453,1.6161890029907227,0.0517578125,1.5504436492919922,0.03125,1.3459851741790771,0.05078125,1.6014230251312256,0.0390625,1.9669041633605957,0.0859375,0.008498740196228028,0.0017731737586748437,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.0705077648162842,4.0,0.9578125,0.0421875,0.0,,
smiling_present,target_preservation_minimum_intervention,256,0.4500863552093506,23.68570077000004,0.38813060440463776,628038656,0.87109375,0.87109375,8.218158721923828,6.235750675201416,-1.9741374254226685,9.949418067932129,14.772754669189453,1.6161890029907227,0.0517578125,1.5504436492919922,0.03125,1.3459851741790771,0.05078125,1.6014230251312256,0.0390625,1.9669041633605957,0.0859375,0.008498740196228028,0.0017731737586748437,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.0705077648162842,4.0,0.9578125,0.0421875,0.0,,
smiling_present,full_plus_temporal_smoothness,256,0.3955925703048706,23.565172719999737,-0.1227086459269278,628038656,0.98828125,0.98828125,11.13203239440918,3.935354709625244,6.097457408905029,11.74850845336914,15.720682144165039,0.002801134716719389,0.0009765625,0.0014012567698955536,0.0,0.0024948064237833023,0.00390625,0.0017527341842651367,0.0,0.005555741488933563,0.0,0.011948599815368652,0.0022690485786897516,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,2.005859375,4.0,0.89140625,0.00859375,0.1,,
smiling_present,full_without_reliability_gate,256,0.44798901677131653,23.562367475999963,-0.13459823297191775,628038656,0.875,0.875,8.299474716186523,6.109921932220459,-1.4312689304351807,9.949418067932129,14.772754669189453,1.6158901453018188,0.052734375,1.5471200942993164,0.03125,1.351228952407837,0.0546875,1.6009541749954224,0.0390625,1.9642577171325684,0.0859375,0.008543763160705566,0.001775093273984264,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.1150391101837158,4.0,0.9578125,0.0421875,0.0,,
smiling_present,full_fixed_threshold,256,0.3922247588634491,23.688745376000043,0.40103468977391626,628038656,0.98828125,0.98828125,11.284863471984863,3.8228487968444824,6.242671012878418,11.883772850036621,15.678585052490234,0.12517094612121582,0.0048828125,0.10195796936750412,0.0,0.10009744763374329,0.00390625,0.11838223040103912,0.0,0.18024617433547974,0.015625,0.012155423164367676,0.002305966589088454,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,2.1830077171325684,4.0,0.7703125,0.1296875,0.1,,
bangs_present,hw3_baseline,256,0.42046231031417847,22.927258373999848,0.0,598670848,0.984375,0.984375,7.814853191375732,3.366560459136963,3.192641019821167,8.356217384338379,11.65408706665039,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04288673400878906,0.0065227054132432774,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,0,0,,,,,,,,,0.0,0.0
bangs_present,target_feedback_only,256,0.5146750807762146,24.17092687200011,5.424410008876665,628038656,0.80859375,0.80859375,4.380788803100586,4.62722110748291,-1.9944474697113037,5.16256046295166,9.397300720214844,4.531364440917969,0.1787109375,,,3.8782544136047363,0.15625,5.39402961730957,0.16015625,5.3560943603515625,0.30859375,0.017500176429748535,0.0037424549893964954,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.3017578125,4.0,0.8484375,0.1515625,0.0,3.497079372406006,0.08984375
