target,method,target_success,protected_logit_drift_mean,kid_mean,seconds_per_image
smiling_present,hw3_baseline,0.9850000143051147,0.0,0.01222543478012085,0.089958097418
smiling_present,interval_cfg,0.9789999723434448,0.11690960824489594,0.011730773448944092,0.08951175365100061
smiling_present,crh_target_only,0.8600000143051147,1.5417248010635376,0.009042084217071533,0.09202450891099943
smiling_present,crh_preservation,0.8600000143051147,1.5417248010635376,0.009042084217071533,0.09224035867699967
smiling_present,crh_full,0.9869999885559082,0.002519192872568965,0.0122310733795166,0.09238932835000015
bangs_present,hw3_baseline,0.9800000190734863,0.0,0.041100506782531736,0.09070770489999995
bangs_present,interval_cfg,0.972000002861023,0.27065369486808777,0.04086626529693604,0.09064420701500057
bangs_present,crh_target_only,0.8880000114440918,3.1287593841552734,0.02379096031188965,0.09217007545099933
bangs_present,crh_preservation,0.8880000114440918,3.1287593841552734,0.02379096031188965,0.09249475736799923
bangs_present,crh_full,0.984000027179718,0.0475679412484169,0.04123048782348633,0.09214399343599962
blond_hair,hw3_baseline,0.9869999885559082,0.0,0.06872359752655029,0.09102983195599973
blond_hair,interval_cfg,0.9860000014305115,0.3155687153339386,0.06711246967315673,0.09108925122999972
blond_hair,crh_target_only,0.972000002861023,1.716989278793335,0.05884477853775025,0.09236499355900014
blond_hair,crh_preservation,0.972000002861023,1.716989278793335,0.05884477853775025,0.09220521274400016
blond_hair,crh_full,0.9929999709129333,0.28578197956085205,0.07082919120788574,0.09204879203500059
