target,method,num_samples,feature_diversity,wall_seconds,seconds_per_image,runtime_overhead_percent,peak_memory_bytes,guided_field_evaluations_per_trajectory,raw_generator_forwards_per_trajectory,evaluator_decisions_per_trajectory,target_success,target_accuracy,signed_target_logit_mean,signed_target_logit_std,target_margin_q10,target_margin_median,target_margin_q90,protected_logit_drift_mean,protected_flip_rate,protected_1_drift,protected_1_flip_rate,protected_2_drift,protected_2_flip_rate,protected_3_drift,protected_3_flip_rate,protected_4_drift,protected_4_flip_rate,kid_mean,kid_std,kid_subset_size,kid_subsets,kid_reference,mean_scale,max_scale,feasible_rate,fallback_rate,gate_inactive_rate,guided_field_evaluations,raw_generator_forwards,evaluator_forwards,evaluator_examples,protected_0_drift,protected_0_flip_rate
smiling_present,hw3_baseline,1000,0.3728739023208618,89.958097418,0.089958097418,0.0,644830208,100,200,0,0.9850000143051147,0.9850000143051147,11.14924430847168,4.101934432983398,6.112556457519531,11.706624984741211,15.797818183898926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01222543478012085,0.0006302299028931532,1000,100,full_63715_celeba_hw3_torch_fidelity,nan,nan,nan,nan,nan,3200,6400,0,0,,
smiling_present,interval_cfg,1000,0.3749701678752899,89.51175365100062,0.08951175365100061,-0.4961685271370205,644830208,100,200,0,0.9789999723434448,0.9789999723434448,10.995065689086914,4.264916896820068,5.652158260345459,11.630550384521484,15.771852493286133,0.11690960824489594,0.0037499999161809683,0.10228775441646576,0.0,0.09832912683486938,0.003000000026077032,0.1124224066734314,0.0020000000949949026,0.15459921956062317,0.009999999776482582,0.011730773448944092,0.0006018827227684679,1000,100,full_63715_celeba_hw3_torch_fidelity,nan,nan,nan,nan,nan,3200,6400,0,0,,
smiling_present,crh_target_only,1000,0.43827658891677856,92.02450891099943,0.09202450891099943,2.2970822553056363,673739776,100,200,10,0.8600000143051147,0.8600000143051147,7.890568733215332,6.350748538970947,-1.9123963117599487,9.298685073852539,14.780397415161133,1.5417248010635376,0.04975000023841858,1.422663688659668,0.02500000037252903,1.3426194190979004,0.03799999877810478,1.4227477312088013,0.03700000047683716,1.9788681268692017,0.0989999994635582,0.009042084217071533,0.000501598427212246,1000,100,full_63715_celeba_hw3_torch_fidelity,1.0738500356674194,4.0,0.955,0.045,0.0,3200,6400,320,60000,,
smiling_present,crh_preservation,1000,0.43827658891677856,92.24035867699968,0.09224035867699967,2.5370270431520017,673739776,100,200,10,0.8600000143051147,0.8600000143051147,7.890568733215332,6.350748538970947,-1.9123963117599487,9.298685073852539,14.780397415161133,1.5417248010635376,0.04975000023841858,1.422663688659668,0.02500000037252903,1.3426194190979004,0.03799999877810478,1.4227477312088013,0.03700000047683716,1.9788681268692017,0.0989999994635582,0.009042084217071533,0.000501598427212246,1000,100,full_63715_celeba_hw3_torch_fidelity,1.0738500356674194,4.0,0.955,0.045,0.0,3200,6400,320,60000,,
smiling_present,crh_full,1000,0.37244105339050293,92.38932835000014,0.09238932835000015,2.7026260023076865,673739776,100,200,10,0.9869999885559082,0.9869999885559082,11.161859512329102,4.0616912841796875,6.118697643280029,11.706624984741211,15.797818183898926,0.002519192872568965,0.0002500000118743628,0.0017502211267128587,0.0,0.002178255934268236,0.0010000000474974513,0.001323639415204525,0.0,0.0048246560618281364,0.0,0.0122310733795166,0.0006306920067709538,1000,100,full_63715_celeba_hw3_torch_fidelity,2.006700038909912,4.0,0.8908,0.0092,0.1,3200,6400,320,60000,,
bangs_present,hw3_baseline,1000,0.4290001094341278,90.70770489999995,0.09070770489999995,0.0,644830208,100,200,0,0.9800000190734863,0.9800000190734863,7.771750450134277,3.129455089569092,3.7201123237609863,8.263120651245117,11.441679000854492,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.041100506782531736,0.0016179030516890703,1000,100,full_63715_celeba_hw3_torch_fidelity,nan,nan,nan,nan,nan,3200,6400,0,0,0.0,0.0
bangs_present,interval_cfg,1000,0.4343527555465698,90.64420701500057,0.09064420701500057,-0.07000274681117923,644830208,100,200,0,0.972000002861023,0.972000002861023,7.619089126586914,3.2471888065338135,3.3924896717071533,8.153236389160156,11.38197135925293,0.27065369486808777,0.00925000011920929,,,0.3470934331417084,0.013000000268220901,0.1467691957950592,0.0010000000474974513,0.3976490795612335,0.019999999552965164,0.04086626529693604,0.0016060098800344006,1000,100,full_63715_celeba_hw3_torch_fidelity,nan,nan,nan,nan,nan,3200,6400,0,0,0.19110305607318878,0.003000000026077032
bangs_present,crh_target_only,1000,0.4858492612838745,92.17007545099932,0.09217007545099933,1.6121789792956913,673739776,100,200,10,0.8880000114440918,0.8880000114440918,5.735713005065918,4.660059452056885,-0.51167893409729,6.600532531738281,10.676544189453125,3.1287593841552734,0.12575000524520874,,,2.965637683868408,0.11900000274181366,3.231923818588257,0.08399999886751175,3.796457529067993,0.22300000488758087,0.02379096031188965,0.0012552227236645298,1000,100,full_63715_celeba_hw3_torch_fidelity,1.1951500177383423,4.0,0.8849,0.1151,0.0,3200,6400,320,60000,2.5210189819335938,0.07699999958276749
bangs_present,crh_preservation,1000,0.4858492612838745,92.49475736799923,0.09249475736799923,1.9701220199203553,673739776,100,200,10,0.8880000114440918,0.8880000114440918,5.735713005065918,4.660059452056885,-0.51167893409729,6.600532531738281,10.676544189453125,3.1287593841552734,0.12575000524520874,,,2.965637683868408,0.11900000274181366,3.231923818588257,0.08399999886751175,3.796457529067993,0.22300000488758087,0.02379096031188965,0.0012552227236645298,1000,100,full_63715_celeba_hw3_torch_fidelity,1.1951500177383423,4.0,0.8849,0.1151,0.0,3200,6400,320,60000,2.5210189819335938,0.07699999958276749
bangs_present,crh_full,1000,0.42805126309394836,92.14399343599962,0.09214399343599962,1.5834250658012912,673739776,100,200,10,0.984000027179718,0.984000027179718,7.823678970336914,3.0823557376861572,3.857773780822754,8.277530670166016,11.479109764099121,0.0475679412484169,0.0017500000540167093,,,0.045746102929115295,0.004000000189989805,0.028279973194003105,0.0,0.05563092976808548,0.0010000000474974513,0.04123048782348633,0.001620210617229481,1000,100,full_63715_celeba_hw3_torch_fidelity,2.0480000972747803,4.0,0.8409,0.0591,0.1,3200,6400,320,60000,0.06061475723981857,0.0020000000949949026
